VideoID,Title,URL,Topic,Status,Talk By
AFo10vfew-4,Building Our Relationships on a Spiritual Foundation | How-to-Live Inspirational Talk,https://www.youtube.com/watch?v=AFo10vfew-4,SRF|||| How-to-Live|,,
Hc9ThyHB4oc,Celebrating 100 years of Yogoda Satsanga Society of India (1917-2017),https://www.youtube.com/watch?v=Hc9ThyHB4oc,SRF|||||,,
YQEOhbmHYUw,Celebrating Christmas in the Temple of the Soul | How-to-Live Talk With Meditation,https://www.youtube.com/watch?v=YQEOhbmHYUw,SRF|||| How-to-Live|,,
ic8kM4Rs95U,Ch01 Autobiography of a Yogi (Bengali) | আমার পিতামাতা ও বাল্যজীবন | পরমহংস যোগানন্দ | যোগী-কথামৃত,https://www.youtube.com/watch?v=ic8kM4Rs95U,YSS|Bengali|Autobiography of a Yogi |||,,
y-30ojY3K1g,Ch01 Autobiography of a Yogi (Hindi) | मेरे माता-पिता एवं मेरा बचपन | योगी कथामृत | परमहंस योगानन्द,https://www.youtube.com/watch?v=y-30ojY3K1g,YSS|Hindi|Autobiography of a Yogi |||,,
ava2HkL2z0A,Ch01 Autobiography of a Yogi (Kannada) ತಂದೆ ತಾಯಿಗಳು ಮತ್ತು ನನ್ನ ಬಾಲ್ಯ | ಪರಮಹಂಸ ಯೋಗಾನಂದ |ಯೋಗಿಯ ಆತ್ಮಕಥೆ,https://www.youtube.com/watch?v=ava2HkL2z0A,YSS|Kannada|Autobiography of a Yogi |||,,
tDwi9HiUQxc,Ch01 Autobiography of a Yogi (Malayalam) | എന്റെ മാതാപിതാക്കളും ബാല്യവും | പരമഹംസ യോഗാനന്ദൻ |,https://www.youtube.com/watch?v=tDwi9HiUQxc,YSS|Malayalam|Autobiography of a Yogi |||,,
BVf8E_ESqbQ,Ch01 Autobiography of a Yogi (Tamil) | என்‌ பெற்றோரும்‌ பிள்ளைப்‌ பருவமும் | பரமஹம்ஸ யோகானந்தர்,https://www.youtube.com/watch?v=BVf8E_ESqbQ,YSS|Tamil|Autobiography of a Yogi |||,,
FYFuxITAtGU,Ch01 Autobiography of a Yogi (Telugu) | పరమహంస యోగానంద | ఒక యోగి ఆత్మకథ,https://www.youtube.com/watch?v=FYFuxITAtGU,YSS|Telugu|Autobiography of a Yogi |||,,
p5CUR2vIp1A,Ch01 Autobiography of a Yogi(Gujarati) | મારાં માતાપિતા અને શિશુજીવન | પરમહંસ યોગાનંદ  | યોગી કથામૃત,https://www.youtube.com/watch?v=p5CUR2vIp1A,YSS|Gujarati|Autobiography of a Yogi |||,,
OuBeOiy6Mvo,Ch02 Autobiography of a Yogi (Bengali) | আমার মাতৃবিয়োগ ও মন্ত্রপূত কবচ | পরমহংস যোগানন্দ,https://www.youtube.com/watch?v=OuBeOiy6Mvo,YSS|Bengali|Autobiography of a Yogi |||,,
VJherz1cfqw,Ch02 Autobiography of a Yogi (Hindi) | माँ का देहान्त और अलौकिक तावीज़ | योगी कथामृत परमहंस योगानन्द,https://www.youtube.com/watch?v=VJherz1cfqw,YSS|Hindi|Autobiography of a Yogi |||,,
DiFdSOv6yEA,Ch02 Autobiography of a Yogi (Kannada) ಮಾತೃವಿಯೋಗ ಮತ್ತು ನಿಗೂಢ ತಾಯಿತಿ | ಪರಮಹಂಸ ಯೋಗಾನಂದ | ಯೋಗಿಯ ಆತ್ಮಕಥೆ,https://www.youtube.com/watch?v=DiFdSOv6yEA,YSS|Kannada|Autobiography of a Yogi |||,,
sQC7p319iq0,Ch02 Autobiography of a Yogi (Malayalam) | അമ്മയുടെ മരണവും രഹസ്യാത്മകമായ ഏലസ്സും | പരമഹംസ യോഗാനന്ദൻ,https://www.youtube.com/watch?v=sQC7p319iq0,YSS|Malayalam|Autobiography of a Yogi |||,,
